ISBN10,title,brand,discount,initial_price,final_price
0060244887,The Chronicles of Narnia (Box Set),C. S. Lewis,66.01,120.0,53.99
0060254920,Where the Wild Things Are,Maurice Sendak,6.75,19.95,13.2
0060256656,The Giving Tree,Shel Silverstein,8.9,17.99,9.09
9780060555665,The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,Benjamin GrahamJason Zweig,10.7,24.99,14.29
0060652888,Mere Christianity,C. S. Lewis,2.5,24.99,22.49
0060652926,Mere Christianity,C. S. Lewis,3.3,16.99,13.69
0062439596,The Hating Game: A Novel,Sally Thorne,3.4,15.99,12.59
0062931067,Just as I Am: A Memoir,Cicely Tyson,11.67,28.99,17.32
0061992275,The One and Only Ivan,"by Katherine Applegate (Author), Patricia Castelao (Illustrator)",2.03,8.99,6.96
0061992887,Chronicles of Narnia Box Set,C. S. Lewis,34.67,55.0,20.33
0140177396,Of Mice and Men,John Steinbeck,3.82,12.0,8.18
0140186425,Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,8.31,15.0,6.69
0062457713,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,15.49,26.99,11.5
0062457802,They Both Die at the End,Adam Silvera,4.92,12.99,8.07
0062464310,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,4.01,37.5,33.49
0062464345,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,6.61,24.99,18.38
0062466593,The Wild Unknown Tarot Deck and Guidebook (Official Keepsake Box Set),Kim Krans,11.38,39.99,28.61
006246776X,The Bad Seed (The Food Group),Jory JohnPete Oswald,7.26,18.99,11.73
0062943472,The Rose Code: A Novel,Kate Quinn,4.5,17.99,13.49
9780062024022,Divergent,Veronica Roth,8.18,18.99,10.81
9780062024046,Divergent / Insurgent,Veronica Roth,6.0,17.99,11.99
0062024051,"Insurgent (Divergent Series, 2)",Veronica Roth,1.5,12.99,11.49
006202406X,Allegiant,Veronica Roth,12.99,19.99,7.0
0062024078,"Allegiant (Divergent Series, 3)",Veronica Roth,2.89,12.99,10.1
0140280197,The 48 Laws of Power,Robert Greene,11.3,26.0,14.7
0062498533,The Hate U Give,Angie Thomas,9.87,18.99,9.12
0060850523,Brave New World,Aldous Huxley,4.44,15.99,11.55
0062963686,The Dutch House: A Novel,Ann Patchett,6.1,17.0,10.9
0062968394,The Happy in a Hurry Cookbook: 100-Plus Fast and Easy New Recipes That Taste Like Home (The Happy Cookbook Series),Steve Doocy,16.3,29.99,13.69
0062059947,"The Selection (The Selection, 1)",Kiera Cass,6.51,12.99,6.48
0062060619,The Song of Achilles,Madeline Miller,2.8,27.99,25.19
0062060627,The Song of Achilles: A Novel,Madeline Miller,6.64,16.99,10.35
0062976583,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,12.64,22.99,10.35
9780060890681,The Last Anniversary: A Novel,Liane Moriarty,9.01,16.99,7.98
0062073478,And Then There Were None (Agatha Christie Mysteries Collection (Paperback)),Agatha Christie,6.0,15.99,9.99
0062073486,And Then There Were None,Agatha Christie,1.0,8.99,7.99
0062981951,The Secret Garden,Frances Hodgson Burnett,3.5,18.99,15.49
0062563297,"War Lord: A Novel (Saxon Tales, 13)",Bernard Cornwell,10.7,28.99,18.29
0060935464,To Kill a Mockingbird,Harper Lee,8.8,15.99,7.19
0062654195,The Alice Network: A Novel,Kate Quinn,5.53,16.99,11.46
0062667580,The Last Mrs. Parrish: A Novel,Liv Constantine,4.41,16.99,12.58
0062667645,Leave the World Behind: A Novel,Rumaan Alam,3.4,16.99,13.59
0063040514,"Divergent 10th Anniversary Edition (Divergent Series, 1)",Veronica Roth,4.6,12.99,8.39
0063040522,"Insurgent Anniversary Edition (Divergent Series, 2)",Veronica Roth,2.6,12.99,10.39
0063040530,"Allegiant Anniversary Edition (Divergent Series, 3)",Veronica Roth,3.0,12.99,9.99
0063045982,Hillbilly Elegy [movie tie-in]: A Memoir of a Family and Culture in Crisis,J. D. Vance,8.52,17.99,9.47
0063046105,Finding Freedom: Harry and Meghan and the Making of a Modern Royal Family,Omid ScobieCarolyn Durand,11.37,27.99,16.62
0063046113,Finding Freedom: Harry and Meghan,Omid ScobieCarolyn Durand,5.8,16.99,11.19
0062678426,The Woman in the Window: A Novel,A. J Finn,10.01,17.99,7.98
006112495,Charlotte's Web,E. B WhiteGarth Williams,4.52,9.99,5.47
0140501738,Corduroy,Don Freeman,2.96,10.95,7.99
0062696122,Brave New World,Aldous Huxley,6.1,23.99,17.89
0063078902,Bridgerton [TV Tie-in] (Bridgertons Book 1),Julia Quinn,5.45,16.99,11.54
0063111306,The Last Mrs. Parrish: A Novel,Liv Constantine,2.51,9.99,7.48
006313862X,"The Viscount Who Loved Me: Bridgerton (Bridgertons, 2)",Julia Quinn,9.49,16.99,7.5
0063138646,"Offer from a Gentleman, An: Bridgerton (Bridgertons, 3)",Julia Quinn,3.41,16.99,13.58
0063141248,"Romancing Mister Bridgerton: Bridgerton (Bridgertons, 4)",Julia Quinn,8.0,16.99,8.99
0063141256,"To Sir Phillip, With Love: Bridgerton (Bridgertons, 5)",Julia Quinn,9.89,16.99,7.1
0063141280,"When He Was Wicked: Bridgerton (Bridgertons, 6)",Julia Quinn,10.09,16.99,6.9
0063141299,"It's in His Kiss: Bridgerton (Bridgertons, 7)",Julia Quinn,6.83,16.99,10.16
0063141302,"On the Way to the Wedding: Bridgerton (Bridgertons, 8)",Julia Quinn,9.9,16.99,7.09
0063142783,"The Boy, the Mole, the Fox and the Horse Deluxe (Yellow) Edition",Charlie Mackesy,5.0,24.99,19.99
0062797158,The Tattooist of Auschwitz: A Novel,Heather Morris,4.59,16.99,12.4
0062803832,Unfu*k Yourself: Get Out of Your Head and into Your Life (Unfu*k Yourself series),Gary John Bishop,9.0,21.99,12.99
9780062820150,Magnolia Table,Joanna GainesMarah Stets,13.4,29.99,16.59
0062820184,"Magnolia Table, Volume 2: A Collection of Recipes for Gathering",Joanna Gaines,21.0,35.0,14.0
006283486X,"The Cellist: A Novel (Gabriel Allon, 21)",Daniel Silva,11.21,28.99,17.78
006440188X,The Secret Garden (HarperClassics),Frances Hodgson Burnett,2.0,8.99,6.99
0062841742,I've Loved You Since Forever,Hoda KotbSuzie Mason,4.47,18.99,14.52
0062841750,I've Loved You Since Forever Board Book,Hoda KotbSuzie Mason,1.8,8.99,7.19
0141439556,Wuthering Heights (Penguin Classics),Emily Brontë,1.81,8.0,6.19
0064431789,Where the Wild Things Are,Maurice Sendak,3.95,8.95,5.0
0062297198,"SuperLife: The 5 Simple Fixes That Will Make You Healthy, Fit, and Eternally Awesome",Darin Olien,7.2,17.99,10.79
9780062300546,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,15.64,27.99,12.35
9780062300553,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,10.14,17.99,7.85
9780062301239,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,15.51,32.5,16.99
006230125X,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,4.0,17.99,13.99
9780061537936,The Art of Racing in the Rain,Garth Stein,11.14,25.99,14.85
9780061537967,The Art of Racing in the Rain: A Novel,Garth Stein,7.0,16.99,9.99
0062315005,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,8.1,16.99,8.89
9780062316097,Sapiens: A Brief History of Humankind,Yuval Noah Harari,8.51,37.5,28.99
9780062316110,Sapiens: A Brief History of Humankind,by Yuval Harari (Author),13.79,24.99,11.2
0062319787,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,4.53,27.99,23.46
0062319795,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,6.77,17.99,11.22
0062868942,The Guest List: A Novel,Lucy Foley,3.9,16.99,13.09
006287067X,The Tattooist of Auschwitz: A Novel,Heather Morris,3.0,27.99,24.99
0142402516,Looking for Alaska,John Green,6.59,12.99,6.4
0142403873,The Gruffalo,Julia Donaldson,3.0,7.99,4.99
